"","district","name","party","hpvi","rpvi","ave","pres","gov","abs","chamber","hpvi_color"
"116","25A","Duane Quam","R","R+8",-8.31263958066922,0.416873604193308,0.41161879247904,0.422128415907576,8.31263958066922,"House","0"
"117","25B","Duane Sauke","DFL","D+4",3.67342292108099,0.53673422921081,0.555327868852459,0.518140589569161,3.67342292108099,"House","1"
"118","26A","Tina Liebling","DFL","D+8",7.89684296789213,0.578968429678921,0.595728316175601,0.562208543182242,7.89684296789213,"House","1"
"119","26B","Nels Pierson","R","R+9",-8.6082465229158,0.413917534770842,0.419867310556483,0.407967758985201,8.6082465229158,"House","0"
"120","27A","Peggy Bennett","R","R+3",-3.37957422998517,0.466204257700148,0.401552878179384,0.530855637220912,3.37957422998517,"House","0"
"121","27B","Jeanne Poppe","DFL","EVEN",-0.400322871501668,0.495996771284983,0.453463791749713,0.538529750820254,0.400322871501668,"House","0"
"122","28A","Gene Pelowski Jr.","DFL","D+3",3.20418329576914,0.532041832957691,0.512737248754269,0.551346417161114,3.20418329576914,"House","1"
"123","28B","Greg Davids","R","R+5",-5.33102538760116,0.446689746123988,0.402783360128617,0.490596132119359,5.33102538760116,"House","0"
"124","29A","Joe McDonald","R","R+15",-15.3453222971169,0.346546777028831,0.313496541235343,0.379597012822319,15.3453222971169,"House","0"
"125","29B","Marion O'Neill","R","R+13",-13.0074326129997,0.369925673870003,0.333509457888619,0.406341889851387,13.0074326129997,"House","0"
"126","30A","Nick Zerwas","R","R+14",-13.781024260594,0.36218975739406,0.330943133154068,0.393436381634052,13.781024260594,"House","0"
"127","30B","Eric Lucero","R","R+16",-16.3497679638143,0.336502320361857,0.321933511654566,0.351071129069147,16.3497679638143,"House","0"
"128","31A","Kurt Daudt","R","R+20",-19.5048560089398,0.304951439910602,0.257350096711799,0.352552783109405,19.5048560089398,"House","0"
"129","31B","Cal Bahr","R","R+15",-15.46058126694,0.3453941873306,0.312708800512562,0.378079574148639,15.46058126694,"House","0"
"130","32A","Brian Johnson","R","R+13",-12.8722479977615,0.371277520022385,0.304566465180068,0.437988574864702,12.8722479977615,"House","0"
"131","32B","Anne Neu","R","R+11",-10.902534682143,0.39097465317857,0.34170902464755,0.440240281709591,10.902534682143,"House","0"
"132","33A","Jerry Hertaus","R","R+12",-11.9355426060346,0.380644573939654,0.408558078531027,0.35273106934828,11.9355426060346,"House","0"
"133","33B","Cindy Pugh","R","R+4",-3.8073619660258,0.461926380339742,0.502686207933984,0.4211665527455,3.8073619660258,"House","0"
"134","34A","Joyce Peppin","R","R+8",-8.29748510088119,0.417025148991188,0.443195503813729,0.390854794168647,8.29748510088119,"House","0"
"135","34B","Dennis Smith","R","R+1",-1.34909740020656,0.486509025997934,0.523480252831629,0.44953779916424,1.34909740020656,"House","0"
"136","35A","Abigail Whelan","R","R+7",-6.89131226558313,0.431086877344169,0.414014024113404,0.448159730574934,6.89131226558313,"House","0"
"137","35B","Peggy Scott","R","R+10",-9.88416783666266,0.401158321633373,0.395980647562337,0.40633599570441,9.88416783666266,"House","0"
"138","36A","Mark Uglem","R","R+2",-2.0958572562496,0.479041427437504,0.483661786311363,0.474421068563645,2.0958572562496,"House","0"
"139","36B","Melissa Hortman","DFL","D+4",4.38368311943662,0.543836831194366,0.565492583466203,0.52218107892253,4.38368311943662,"House","1"
